#,单词,音标,解释,笔记
538,"obtuse","英:/əb'tjuːs/ 美:/ɑbˈtus/","adj. 圆头的；不锋利的；迟钝的


比较级:  
obtuser, obtusest 

副 词:  
obtusely",
539,"purblind","英:/'pɜːblaɪnd/ 美:/'pɝ,blaɪnd/","- adj. 半盲的；愚钝的；惺松眼的
- vt. 使成半瞎",
540,"uninitiated","","the un·initi·atedBrE /ˌʌnɪˈnɪʃieɪtɪd/NAmE /ˌʌnɪˈnɪʃieɪtɪd/ noun [pl.] people who have no special knowledge or experience of sth 无专门知识（或经验）的人；门外汉；外行◆To the uninitiated the system seems too complicated.  对外行而言，这个系统似乎过于复杂。🔊🔊▸ un·initi·ated  adjective",
541,"vacuous","英:/'vækjʊəs/ 美:/'vækjuəs/","- adj. 空虚的，内容贫乏的，无意义的
- 愚蠢的；茫然若失的
- 无聊的，无所事事的
- adv. 无意义地；茫然若失地；无所事事地
- n. 空虚；无聊；愚蠢",
542,"vacuity","英:/və'kjuːɪtɪ/ 美:/və'kjuəti/","- n. 空白;空间;真空
- 空虚;空泛;缺乏
- 无聊之事;蠢事",
543,"dolt","英:/dəʊlt/ 美:/dolt/","n. 笨蛋，傻瓜；呆子


形容词:  
doltish",
544,"dunce","英:/dʌns/ 美:/dʌns/","n. 傻瓜；劣学生",
545,"insensate","英:/ɪn'senseɪt/ 美:/ɪn'sɛnsɪt/","- adj. 无感觉的; 无生气的
- 无理性的; 狂暴的",
546,"gawk","英:/gɔːk/ 美:/ɡɔk/","- n. 呆子
- v. 呆呆地看着

时 态:  
gawked, gawking, gawks 

名 词:  
gawker",
547,"artless","英:/'ɑːtlɪs/ 美:/'ɑrtləs/","- adj. 单纯的,天真的
- 自然的；不做作的
- 拙劣的；缺乏艺术性的

副 词:  
artlessly

名 词:  
artlessness",
548,"bedizen","英:/bɪ'daɪz(ə)n/ 美:/bɪˈdaɪzən/","vt. 俗丽地穿着或装饰；过分地打扮


时 态:  
bedizened, bedizening, bedizens",
549,"dashing","英:/'dæʃɪŋ/ 美:/'dæʃɪŋ/","- adj. 精神振奋的, 精神抖擞的
- (衣服)漂亮而有趣的",
550,"earthy","英:/'ɜːθɪ/ 美:/'ɝθi/","- adj. 泥土的；像泥土的
- 泥土气息的；粗俗的

比较级:  
earthier，earthiest 

名 词:  
earthiness",
551,"foppish","英:/ˈf ɔpɪʃ/ 美:/'fɑpɪʃ/","adj. 浮华的；矫饰的；有纨绔习气的


副 词:  
foppishly",
552,"foppery","英:/'fɒpərɪ/ 美:/ˈfɑpəri/","n. 纨绔习气；纨绔子弟的打扮；愚蠢的行为",
553,"ultramundane","英:/ˌʌltrə'mʌndeɪn/ 美:/ˌʌltrə'mʌnden/","- adj. 世界之外的;太阳系之外的
- 超俗的；非现世的",
554,"unworldly","英:/ʌn'wɜːldlɪ/ 美:/ʌn'wɝldli/","adj. 不谙世故的, 不善于处世的

比较级:  
unworldlier, unworldliest 

名 词:  
unworldliness",
555,"distrait","英:/dɪ'streɪ/ 美:/dɪˈstre/","adj. （法）心不在焉的（因烦恼、忧惧等）",
556,"halfhearted","英:/'hɑːf,hɑːtɪd/ 美:/ˈhæfˈh ɑrtɪd/","- adj. 不认真的
- 无兴趣的;不热心的

副 词:  
halfheartedly",
557,"slapdash","英:/'slæpdæʃ/ 美:/'slæpdæʃ/","adj. 草率的,粗心的,匆促的",
558,"unwitting","英:/ʌn'wɪtɪŋ/ 美:/ʌn'wɪtɪŋ/","adj. 不知情的, 非故意的, 无意的

副 词:  
unwittingly",
559,"foolhardy","英:/'fuːlhɑːdɪ/ 美:/'fulhɑrdi/","adj. 莽撞的；有勇无谋的

比较级:  
foolhardier，foolhardiest 

名 词:  
foolhardiness",
560,"presumption","英:/prɪ'zʌm(p)ʃ(ə)n/ 美:/pri'zʌmpʃən/","- n. 假定, 认定, 推测
- 推定, 论定
- 放肆, 冒昧, 自以为是",
561,"snappish","英:/'snæpɪʃ/ 美:/'snæpɪʃ/","adj. 厉声说话的；暴躁的",
562,"surly","英:/'sɜːlɪ/ 美:/ˈsə..li/","adj. 乖戾的；阴沉的；板面孔的，无礼的


比较级:  
surlier, surliest 

副 词:  
surlily

名 词:  
surliness",
563,"wrongdoing","英:/'rɒŋduːɪŋ/ 美:/'rɔŋduɪŋ/","n. 坏事,不道德行为",
564,"pert","英:/pɜːt/ 美:/pɝt/","abbr. Program Evaluation and Review Technic 计划评价与审查技术

比较级:  
perter, pertest 

副 词:  
pertly

名 词:  
pertness",
565,"cringe","英:/krɪn(d)ʒ/ 美:/krɪndʒ/","- vi. 奉承；畏缩；阿谀
- n. 畏缩；奉承


时 态:  
cringed, cringing, cringes",
566,"effeminate","英:/ɪ'femɪnət/ 美:/ɪ'fɛmɪnət/","adj. (指男人)柔弱的,女人气的

名 词:  
effeminate",
567,"emasculate","英:/ɪ'mæskjʊleɪt/ 美:/ɪ'mæskjʊlɪt/","- vt. 阉割,使柔弱,删削,使无力
- adj. 阉割了的,柔弱的

时 态:  
emasculated, emasculating, emasculates 

名 词:  
emasculation

名 词:  
emasculator",
568,"fainthearted","英:/'feɪnt'hɑːtɪd/ 美:/ˈfentˈhɑrtɪd/","adj. 懦弱的,胆小的,无精神的",
569,"tremulous","英:/'tremjʊləs/ 美:/'trɛmjələs/","- adj. 颤抖的，打颤的
- 敏感的；紧张的；易激动的
- 胆小的；害怕的
- 发抖的手所作的，歪斜的

副 词:  
tremulously

名 词:  
tremulousness",
570,"frailty","英:/'freɪltɪ/ 美:/ˈfrelti/","n. 虚弱；意志薄弱；弱点",
571,"execrable","英:/'eksɪkrəb(ə)l/ 美:/'ɛksɪkrəbl/","adj. 可恶的,讨厌的

副 词:  
execrably",
572,"malice","英:/'mælɪs/ 美:/'mælɪs/","n. 恶意, 蓄意害人",
573,"shoddy","英:/'ʃɒdɪ/ 美:/'ʃɑdi/","- adj. 劣质的；劣等的
- 吝啬的；卑鄙的

比较级:  
shoddier，shoddiest 

副 词:  
shoddily",
574,"villainous","英:/'vɪlənəs/ 美:/'vɪlənəs/","- adj. 邪恶的;凶恶的;恶劣的;可憎的;恶棍的；恶棍似的
- 罪恶的;卑鄙可耻的
- 坏透的;讨厌的

副 词:  
villainously",
575,"maleficent","英:/mə'lefɪsənt/ 美:/mə'lɛfəsnt/","adj. 有害的",
576,"enormity","英:/ɪ'nɔːmɪtɪ/ 美:/ɪ'nɔrməti/","n. 巨大；暴行；极恶",
577,"bacchanal","英:/'bækən(ə)l/ 美:/'bækənl/","- adj. 酒神节的
- 狂饮作乐的
- n. 狂饮作乐的人",
578,"license","英:/ˈlaisəns/ 美:/'laɪsns/","- n. 执照，许可证；特许（同 licence）
- v. 许可；特许；发许可证给


时 态:  
licensed, licensing, licenses",
579,"unbridled","英:/ʌn'braɪd(ə)ld/ 美:/ʌn'braɪdld/","- adj. (马等)无辔头的
- 不受约束的;不受控制的;放纵的",
580,"wanton","英:/'wɒntən/ 美:/'wɔntən/","- adj. 蛮横的，放肆的，毫无道理的
- 恣意的；肆无忌惮的
- 淫乱的，放荡的
- 无节制的，不受约束的
- 不负责任的；胡乱的；反复无常的
- (草木)繁茂的
- 嬉戏的；淘气的
- vi. 任性；反复无常
- 嬉戏
- 生活奢侈；放肆
- vt. 挥霍(钱财)
- n. 嬉闹的人
- 奢侈享乐的人
- 淫荡的人(尤指荡妇)
- adv. 放肆地；淫乱地；无节制地
- n. 淫乱；放荡；无节制

时 态:  
wantoned，wantoning，wantons 

副 词:  
wantonly

名 词:  
wantonness",
581,"orgy","英:/'ɔːdʒɪ/ 美:/'ɔrdʒi/","- n. 狂欢宴会
- 无节制的活动",
582,"roué","/'ru:ei/","n. 放荡的或好色的男子(尤指年长的)",
583,"libido","英:/lɪ'biːdəʊ/ 美:/lɪ'bido/","n. 性欲；生命力


形容词:  
libidinal",
584,"sybaritic","英:/ˌsibəˈritik/ 美:/ˌsɪbə'rɪtɪk/","adj. 奢侈逸乐的,柔弱的",
585,"artifice","英:/'ɑːtɪfɪs/ 美:/'ɑrtɪfɪs/","n. 诡计；欺骗；巧妙的办法",
586,"guile","英:/gaɪl/ 美:/ɡaɪl/","- n. 奸猾,狡诈
- 背信弃义,欺骗

时 态:  
guiled, guiling, guiles",
587,"shiftiness","","shiftyBrE /ˈʃɪfti/NAmE /ˈʃɪfti/ adjective (shift·ier, shifti·est)  (informal) seeming to be dishonest; looking guilty about sth 看着不可靠的；贼眉鼠眼的；显得心里有鬼的 SYN furtive ◆shifty eyes贼溜溜的眼睛◆to look shifty显得贼头贼脑的▸ shift·ily BrE /ˈʃɪftɪli/NAmE /ˈʃɪftɪli/ adverb",
588,"vulpine","英:/'vʌlpaɪn/ 美:/'vʌlpaɪn/","adj. 狐狸的；诡计多端的",
589,"wile","英:/waɪl/ 美:/waɪl/","- vt. 欺骗，诱骗；消遣
- n. 诡计，阴谋


时 态:  
wiled, wiling, wiles",
590,"wily","英:/'waɪlɪ/ 美:/'waɪli/","adj. 狡猾的；诡计多端的


比较级:  
wilier, wiliest 

副 词:  
wilily

名 词:  
wiliness",
591,"artful","英:/'ɑːtfʊl/ 美:/'ɑrtfl/","- adj. (指人)狡猾的，诡诈的
- 巧妙的；精明的；机灵的
- (指事物或行动)巧妙做出或设计的
- 人工的；不自然的
- 有技巧的；熟练的

副 词:  
artfully",
592,"machiavellian","英:/ˌmækiə'veliən/ 美:/ˌmækiəˈvɛliən/","adj. 狡猾欺诈的；不择手段的
Machiavellian
- adj. 马基雅弗利的,权谋术的
- n. 权谋政治家",
593,"nipping","英:/'nɪpɪŋ/ 美:/'nɪpɪŋ/","- adj. 刺骨的
- 尖酸刻薄的",
594,"scathing","英:/'skeɪðɪŋ/ 美:/ˈskeɪðɪŋ/","- adj. (言词、文章)严厉的；尖刻的，不留情的
- adv. 严厉地；尖刻地",
595,"vinegared","","vin·egarBrE /ˈvɪnɪɡə(r)/NAmE /ˈvɪnɪɡər/ noun [U] a liquid with a bitter taste made from  malt (= a type of grain) or wine, used to add flavour to food or to preserve it 醋◆malt/wine vinegar麦芽醋；葡萄酒醋◆onions pickled in vinegar用醋泡制的洋葱  ➡  see also balsamic vinegar",
596,"acidulous","英:/ə'sɪdjʊləs/ 美:/ə'sɪdʒələs/","- adj. 微酸的;带酸味的
- 尖酸刻薄的，有讽刺意味的",
597,"begrudge","英:/bɪ'grʌdʒ/ 美:/bɪ'ɡrʌdʒ/","vt. 羡慕，嫉妒；吝惜，舍不得给


时 态:  
begrudged, begrudging, begrudges 

副 词:  
begrudgingly",
598,"grudge","英:/grʌdʒ/ 美:/ɡrʌdʒ/","- n. 不满, 怨恨, 妒忌
- vt. 勉强给(或允许), 不情愿做

时 态:  
grudged, grudging, grudges",
599,"tightfisted","英:/'tait'fistid/ 美:/ˈtaɪtˈfɪstɪd/","adj. 非常小气的,吝啬的",
600,"tightwad","英:/'taɪtwɒd/ 美:/'taɪtwɑd/","n. 吝啬鬼；守财奴",
601,"clannish","英:/'klænɪʃ/ 美:/'klænɪʃ/","adj. 排他的；氏族的；党派的


副 词:  
clannishly",
602,"coterie","英:/'kəʊt(ə)rɪ/ 美:/'kotəri/","n. 圈内人；小集团；伙伴；同志",
603,"hidebound","英:/'haɪdbaʊnd/ 美:/ˈhaɪdˌbaʊnd/","adj. 对新的思想、方法等格格不入的;守旧的;思想偏狭的",
604,"illiberal","英:/ɪˈlɪbərəl/ 美:/ɪˈlɪbərəl/","- adj. 小心眼的,气量小的
- 吝啬的,小气的

名 词:  
illiberalism

名 词:  
illiberality

副 词:  
illiberally",
605,"nepotism","英:/'nepətɪz(ə)m/ 美:/'nɛpə'tɪzəm/","n. 起用亲戚；裙带关系


名 词:  
nepotist",
606,"bigotry","英:/'bɪgətrɪ/ 美:/'bɪɡətri/","n. 顽固；偏执；盲从",
607,"bathetic","英:/bə'θetɪk/ 美:/bəˈθɛtɪk/","adj. 陈腐的；[修辞]顿降的；假装感伤的",
608,"hackneyed","英:/'hæknɪd/ 美:/'hæknɪd/","adj. (词语、引语等)使用过于频繁的,陈腐的,老一套的",
609,"trite","英:/traɪt/ 美:/traɪt/","adj. 陈腐的；平庸的；老一套的


比较级:  
triter, tritest 

副 词:  
tritely

名 词:  
triteness",
610,"cupidity","英:/kjuː'pɪdɪtɪ/ 美:/kju'pɪdəti/","n. 贪心，贪婪",
611,"grasping","英:/'grɑːspɪŋ/ 美:/ˈɡræspɪŋ/","- adj. 贪婪的；紧紧抓住的
- v. 抓紧，抓牢；理解，领会（grasp的现在分词形式）",
612,"voracious","英:/və'reɪʃəs/ 美:/və'reʃəs/","- adj. 贪吃的，狼吞虎咽的
- 贪婪的，贪得无厌的
- 渴求的；如饥似渴的
- adv. 贪婪地
- n. 贪婪；贪吃

副 词:  
voraciously

名 词:  
voracity",
613,"covetous","英:/'kʌvɪtəs/ 美:/'kʌvətəs/","adj. 贪婪的,垂涎的

副 词:  
covetously",
614,"captious","英:/'kæpʃəs/ 美:/ˈkæpʃəs/","adj. 爱找岔子的；强词夺理的",
615,"persnickety","英:/pə'snɪkɪtɪ/ 美:/pɚ'snɪkəti/","adj. 爱挑剔的;要求极度精确的",
616,"intractable","英:/ɪn'træktəb(ə)l/ 美:/ɪn'træktəbl/","- adj. 难对付的，难解决的
- 倔强的；难管教的

副 词:  
intractably",
617,"opinionated","英:/ə'pɪnjəneɪtɪd/ 美:/ə'pɪnjənetɪd/","adj. 固执己见的,武断的",
618,"restiveness","/'restivnis/","n. 倔强,难以驾御",
619,"hard-nosed","英:/'hɑ:dnəuzd/ 美:/ˈhɑrdˈnozd/","adj. 顽强的;不屈不挠的;不讲情面的",
620,"wrongheaded","英:/'rɒŋ'hedɪd/ 美:/'rɔŋ'hɛdɪd/","adj. 判断错误的,固执的,坚持错误的",
621,"headfirst","英:/'hedfɜːst/ 美:/ˈhɛdˈfɚst/","adv. 头向前地,不顾前后地

形容词:  
headfirst",
622,"misinform","英:/mɪsɪn'fɔːm/ 美:/ˌmɪsɪn'fɔrm/","vt. 向…提供错误的消息,误导

时 态:  
misinformed, misinforming, misinforms 

名 词:  
misinformant

名 词:  
misinformation",
623,"affected","英:/ə'fektɪd/ 美:/ə'fɛktɪd/","- adj. 假装的；做作的；受到影响的
- vt. 影响；假装；使…感动（affect的过去式和过去分词）",
624,"contrived","英:/kən'traɪvd/ 美:/kən'traɪvd/","adj. 不自然的;勉强的",
625,"dissimulation","/di,simju'leiʃən/","n. 掩饰,虚伪,装糊涂",
626,"pharisaic","/ˌfæri'seiik/","- adj. (古犹太)法利赛人的
- (p-)伪善的",
627,"pretence","英:/prɪ'tens/ 美:/ˈpriˌtɛns/","- n. 假装, 作假, 做作
- 自命, 自称, 自吹, 炫耀",
628,"stagy","英:/'steɪdʒɪ/ 美:/ˈstedʒi/","adj. 做作的，不自然的


比较级:  
stagier, stagiest",
629,"affectation","英:/æfek'teɪʃ(ə)n/ 美:/ˌæfɛk'teʃən/","n. 假装；做作；矫揉造作",
630,"beatific","英:/biːə'tɪfɪk/ 美:/ˌbiə'tɪfɪk/","adj. 快乐的；幸福的；祝福的",
631,"caper","英:/'keɪpə/ 美:/'kepɚ/","- vi. 雀跃
- n. 跳跃，雀跃；刺山柑花蕾；不法活动


时 态:  
capered, capering, capers",
632,"convivial","英:/kən'vɪvɪəl/ 美:/kən'vɪvɪəl/","- adj. 好交际的
- 随和的,活跃的， 欢乐的

名 词:  
conviviality

副 词:  
convivially",
633,"conviviality","/kən,vivi'æliti/","n. 欢宴,高兴,欢乐",
634,"disport","英:/dɪ'spɔːt/ 美:/dɪˈspɔrt/","- vt. 使欢娱；使快乐
- vi. 娱乐；玩耍
- n. 娱乐


时 态:  
disported, disporting, disports",
635,"ecstatic","英:/ɪk'stætɪk/ 美:/ɪk'stætɪk/","- adj. 狂喜的；入迷的
- n. 狂喜的人


副 词:  
ecstatically",
636,"exaltation","英:/egzɔːl'teɪʃ(ə)n/ 美:/ˌɛɡzɔl'teʃən/","n. 兴奋;得意洋洋",
637,"exuberance","英:/ɪg'z(j)uːb(ə)r(ə)ns/ 美:/ɪg'zjʊbərəns/","n. 兴高采烈; 活跃; 愉快; 茁壮",
638,"exultant","英:/ɪɡ'zʌltənt/ 美:/ɪɡ'zʌltənt/","adj. 狂喜的;欢欣鼓舞的

副 词:  
exultantly",
639,"felicitate","英:/fɪ'lɪsɪteɪt/ 美:/fɪˈlɪsɪˌtet/","vt. 向…致贺,为…庆幸

时 态:  
felicitated, felicitating, felicitates 

名 词:  
felicitator",
640,"festal","英:/'fest(ə)l/ 美:/ˈfɛstəl/","adj. 节日的；喜庆的，欢乐的


副 词:  
festally",
641,"fete","英:/feɪt/ 美:/fet/","- n. 庆祝；节日；祭祀；游乐会
- vt. 宴请；招待


时 态:  
fetedalso fêted 
fetingfêting 
fetesfêtes",
642,"frisk","英:/frɪsk/ 美:/frɪsk/","- vi. 蹦跳；欢跃
- n. 搜身；快乐；蹦跳；快乐的时刻
- vt. 轻摇


时 态:  
frisked, frisking, frisks",
643,"frolic","英:/'frɒlɪk/ 美:/'frɑlɪk/","- vi. 嬉戏
- n. 无忧无虑的快乐时光

时 态:  
frolicked, frolicking, frolics",
644,"frolicsome","英:/'frɒlɪks(ə)m/ 美:/'frɑlɪksəm/","adj. 爱闹着玩的;嬉戏的",
645,"gaiety","英:/'geɪətɪ/ 美:/ˈɡeɪti/","n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽",
646,"glee","英:/gliː/ 美:/ɡli/","n. 快乐；欢欣；重唱歌曲",
647,"lark","英:/lɑːk/ 美:/lɑrk/","- n. 云雀；百灵鸟；欢乐
- vi. 骑马玩乐；嬉耍
- vt. 愚弄


时 态:  
larked, larking, larks 

名 词:  
larker

形容词:  
larkish",
648,"mirth","英:/mɜːθ/ 美:/mɝθ/","n. 欢乐;欢笑",
649,"bacchanalian","英:/ˌbækə'neiljən/ 美:/ˌbækəˈneljən/","- adj. 酒神节的
- 狂饮作乐的
- n. 发酒疯的人",
650,"carousal","英:/kə'raʊzəl/ 美:/kə'raʊzl/","n. 喧闹的酒宴",
651,"romp","英:/rɒmp/ 美:/rɑmp/","- vi. 玩耍；轻快地跑；轻易地取胜
- n. 嘻耍喧闹；顽皮的女孩


时 态:  
romped, romping, romps",
652,"disgruntle","英:/dɪs'ɡrʌntl/ 美:/dɪsˈɡrʌntl/","vt. 使不高兴

时 态:  
disgruntled, disgruntling, disgruntles",
653,"insatiable","英:/ɪn'seɪʃəb(ə)l/ 美:/ɪn'seʃəbl/","adj. 不知足的；贪得无厌的


副 词:  
insatiably",
654,"unregenerate","英:/ˌʌnrɪ'dʒen(ə)rət/ 美:/ˌʌnrɪ'dʒɛnərət/","adj. 顽固不化的, 不悔改的",
655,"unrepentant","英:/ʌnrɪ'pent(ə)nt/ 美:/ˌʌnrɪ'pɛntənt/","adj. 不后悔的,不懊悔的",
656,"pathetic","英:/pə'θetɪk/ 美:/pə'θɛtɪk/","adj. 可怜的，悲哀的；感伤的；乏味的


副 词:  
pathetically",
657,"pathos","英:/'peɪθɒs/ 美:/'peθɑs/","n. 悲怅；痛苦；同情；哀婉动人的词句",
658,"sadden","英:/'sæd(ə)n/ 美:/'sædn/","- vt. 使悲伤，使难过；使黯淡
- vi. 悲哀；悲痛


时 态:  
saddened, saddening, saddens",
659,"bemoan","英:/bɪ'məʊn/ 美:/bɪ'mon/","- vt. 惋惜；为…恸哭
- vi. 叹息


时 态:  
bemoaned, bemoaning, bemoans",
660,"bewail","英:/bɪ'weɪl/ 美:/bɪ'wel/","v. 悲悼；痛哭；哀叹


时 态:  
bewailed, bewailing, bewails",
661,"despondent","英:/dɪ'spɒnd(ə)nt/ 美:/dɪ'spɑndənt/","adj. 沮丧的,泄气的

副 词:  
despondently",
662,"dismal","英:/'dɪzm(ə)l/ 美:/'dɪzməl/","- adj. 凄凉的，忧郁的；阴沉的，沉闷的；可怕的
- n. 低落的情绪


副 词:  
dismally",
663,"doleful","英:/'dəʊlfʊl/ 美:/'dolfl/","adj. 悲哀的；阴沉的；忧郁的；寂寞的


副 词:  
dolefully

名 词:  
dolefulness",
664,"melancholy","英:/'melənkəlɪ/ 美:/'mɛlənkɑli/","- n. 忧郁, 悲哀
- adj. 忧郁的, 悲伤的",
665,"snivel","英:/'snɪv(ə)l/ 美:/'snɪvl/","- n. 流鼻涕；啜泣
- vi. 流鼻涕；哭泣


时 态:  
sniveled, snivelled 
sniveling, snivelling 
snivels, snivels  

名 词:  
sniveler",
666,"heckle","英:/'hek(ə)l/ 美:/'hɛkl/","- vt. 诘问；激烈质问；以麻梳梳理
- n. 麻梳


时 态:  
heckled, heckling, heckles 

名 词:  
heckler",
667,"infest","英:/ɪn'fest/ 美:/ɪn'fɛst/","vt. 骚扰；寄生于；大批出没；大批滋生


时 态:  
infested, infesting, infests 

名 词:  
infestation",
668,"molest","英:/mə'lest/ 美:/mə'lɛst/","vt. 调戏；骚扰；干扰


时 态:  
molested, molesting, molests 

名 词:  
molestation

名 词:  
molester",
669,"sedition","英:/sɪ'dɪʃ(ə)n/ 美:/sɪ'dɪʃən/","n. 暴动；煽动性的言论或行为；妨害治安",
670,"uptight","英:/ʌp'taɪt/ 美:/'ʌp'taɪt/","- adj. 紧张的,愤怒的
- 经济状况不佳的,拮据的
- 极端保守的",
671,"vexation","英:/vek'seɪʃ(ə)n/ 美:/vɛk'seʃən/","- n. 烦恼;忧虑
- 恼火；愤怒
- 使人恼怒或忧虑的事
- 苦恼的原因;使人恼火的事情",
672,"vexatious","英:/vek'seɪʃəs/ 美:/vɛk'seʃəs/","adj. 伤脑筋的

副 词:  
vexatiously",
673,"hotheaded","英:/'hɒt'hedɪd/ 美:/ˈhɑtˈhɛdɪd/","adj. 性急的,热情的,易激动的(动辄发火的),鲁莽的,冲动的,苍促的,草率的",
674,"berserk","英:/bə'zɜːk/ 美:/bɚˈsə..k/","adj. 狂怒的，失控的：（激动得）控制不住的
n. 狂暴的人；狂暴武士

副 词:  
berserk

副 词:  
berserkly",
675,"bilious","英:/'bɪlɪəs/ 美:/'bɪlɪəs/","- adj. 胆汁的
- 胆汁(过多而致)病的
- 脾气坏的",
676,"crabbed","英:/'kræbɪd/ 美:/'kræbɪd/","- adj. 暴躁的；难懂的；晦涩的；潦草的
- v. 抱怨；侧航（crab的过去分词）",
677,"cross","英:/krɒs/ 美:/krɔs/","- n. 十字架，十字形物；交叉，十字
- vi. 交叉；横过；杂交
- vt. 使相交；渡过；杂交
- adj. 交叉的，相反的；乖戾的


时 态:  
crossed, crossing, crosses 

名 词:  
crosser

副 词:  
crossly

名 词:  
crossness",
678,"crotchety","英:/'krɒtʃɪtɪ/ 美:/'krɑtʃəti/","adj. 有怪想的,反复无常的,想入非非的

名 词:  
crotchetiness",
679,"enflame","/in'fleim/","v. 燃烧",
680,"indignation","英:/ɪndɪg'neɪʃ(ə)n/ 美:/ˌɪndɪɡ'neʃən/","n. 愤怒, 愤慨, 气愤",
